setor_economatica,setor_bovespa,id_cvm,codigo,listagem_bovespa,at,k,ll,d_cp,d_lp,v,depreciacao,caixa,dividendos,qtd_acoes,pl,v_merc,ebit,desp_fin,div_onerosa,fcl,cap_giro,ano,inv,fc,divida,cv,tamanho,alavanc,caixa_normalizado,dividendos_normalizado,q_tobin,cob_juros,div_pl,roa,roe,rok,fcl_normalizado,divonerosa_normalizado,tx_vendas,epu,cvm_reg,idade_firma,divlp_at,dum_dividendos,cv_industria,ln_epu,kz,ww,sa,fcp,dum_kz,dum_ww,dum_sa,dum_fcp,embi,fbcf,iee,ln_iie,epu_fc,epu_iie,epu_cv,ln_pib
Eletroeletronicos,Tecnologia da Informacao,1253,ITEC3,Tradicional,1840658170.6,113785737.5,68197906.171,621120707.2,378238029.34,2413074357.7,33441819.916,27799862.275,7913760.884,11651000.0,841283788.02,512969324.29,50430276.95,68615655.114,348023984.97,144021686.31,784272791.76,2011,0.0217581654739726,0.0564206987069619,0.554748820615969,-0.0784663252787385,21.3333890460205,0.542940154432699,0.0154318366833283,0.0043929665659755,0.821623528467008,0.734967506558288,0.0094067673675554,0.0370508263078361,0.0810640917394913,0.457442932910978,0.0799471277953827,0.193189780755421,0.921533674721261,133.884857654572,1985,26,0.205490642087393,1,-0.0793769957841145,4.89698015933123,1.68685772135134,-1.00683823030862,2.80717226520419,-2.83129894362622,,,0.0,1.0,177.0,185.263983558863,97.1,4.575741375297279,0.2762910421435976,22.407314729061774,-0.384248038065613,26.53217560006509
Eletroeletronicos,Tecnologia da Informacao,1253,ITEC3,Tradicional,1590122997.7,93983873.642,1450570.942248,455723332.94,330457328.46,2284460351.8,26870908.38,23195875.194,17998201.548,11651000.0,802514306.48,607761099.37,9617765.8537,54373047.32,224460856.39,119388316.64,625218347.04,2012,-0.136111732695231,0.015386604517131,0.427119317403583,-0.0532988158817397,21.1870772072307,0.494859414358882,0.0126019461758284,0.0097781336238727,0.876625118174027,0.176884804655087,0.0224272656607755,0.0011024659909284,0.002825416578806,0.0127482668225269,0.0648617535547532,0.121945975616338,0.94670118411826,117.530190149943,1985,27,0.207818721531594,1,0.0397136578350782,4.76669523802776,1.38429946007734,-0.985351133322007,2.60749044343262,-2.63673593166287,,1.0,0.0,1.0,182.0,185.783740228544,97.65,4.581389657322688,0.07334325448122475,21.83808826310969,-0.25405921185600694,26.629214433811153
Eletroeletronicos,Tecnologia da Informacao,1253,ITEC3,Tradicional,1047648611.1,59519239.939,541665282.17,590258284.82,239704449.88,613177142.28,26035654.579,1193399.7033,496900.92909,11651000.0,217671918.51,437294298.79,309220331.54,34797022.927,287480915.89,272869795.31,240685689.63,2013,-0.341152468950295,0.357016996528029,0.521948764907169,-0.731587750342501,20.7698140718695,0.792225354666302,0.0007505077940676,0.0003124921341359,1.20962030595298,8.88640192549539,0.0022827975812928,0.517029542568922,2.48844814653993,5.76338536793335,0.171602948768546,0.180791621972527,0.268412249657499,137.888738632202,1985,28,0.228802336337102,1,-0.0423196581749744,4.92644711817385,2.45784663379373,-0.982266550655089,2.1222096219734,-5.04624675389999,1.0,1.0,0.0,0.0,213.0,198.912914320362,91.5,4.516338972281476,1.7588253536845917,22.249505114692322,-3.604128364366104,26.749450117594655
Eletroeletronicos,Tecnologia da Informacao,1253,ITEC3,Tradicional,379906867.8,47614777.223,50714414.089,96196305.343,140386134.68,133323737.35,7319497.9725,839512.31226,0.0,11199000.0,143324427.77,238356264.53,68468787.755,24976803.028,113519117.21,195468636.27,41268588.838,2014,-0.463546937737286,0.0553944437539664,0.22582232011418,-0.740763814962846,19.7554366959097,0.622737992069959,0.00080133004842,0.0,1.25014508767193,2.74129510002716,0.0,0.133491701223202,0.353843478589595,0.852067569091543,0.186578433072864,0.108356099561673,0.259236185037154,148.63472366333,1985,29,0.369527762140656,0,-0.0741154828526856,5.0014917770144,2.25168063031985,-0.848153071723958,1.06216615409666,-3.08498233054762,1.0,1.0,0.0,1.0,229.5,188.863651308453,94.65,4.550185877655332,0.2770548549277496,22.757717250980196,-3.704924129246491,26.845616092440807
Eletroeletronicos,Tecnologia da Informacao,1253,ITEC3,Tradicional,259647643.29,2298980.586994,22869056.221,108560162.5,59766521.326,33681930.017,6018609.3542,502538.47306,0.0,11199000.0,91320959.459,201012611.05,41543575.517,23881244.56,92327221.637,111200859.95,40396270.701,2015,-0.316549224830834,0.0760388085176911,0.443073548000756,-0.740763814962846,19.3748360517258,0.648288895275039,0.001322793862533,0.0,1.4224634978238,1.73959005413745,0.0,0.0880772724574958,0.250425054187778,0.480293252531554,0.292705579643643,0.243025934676193,0.259236185037154,249.816769917806,1985,30,0.230183184290438,0,-0.187344185692792,5.52072772881606,2.35922435860115,-0.847760844397911,0.662269527221999,-2.81501721783249,1.0,1.0,0.0,1.0,322.0,162.8670904192295,111.05,4.709980550340436,0.41978955864975204,26.002520226448773,-4.089555333768953,26.882179179270636
Eletroeletronicos,Tecnologia da Informacao,1253,ITEC3,Tradicional,152207391.08,2298980.586994,16475799.137,46387598.532,42984272.714,8783747.5333,4686821.2369,162806.54308,0.0,11072000.0,62835519.837,193478639.76,35620064.423,6463196.7378,38086695.062,54554688.406,26030089.967,2016,-0.413792518386158,0.0815051510029055,0.344204438421113,-0.739214839266436,18.8407545638422,0.587171691270004,0.0006270287725976,0.0,1.85832310112545,5.51121463078419,0.0,0.108245723286462,0.262205185534224,7.16656731692663,0.210110470153846,0.146686080333343,0.260785160733564,308.932376861572,1985,31,0.282405948942437,0,-0.0830704438569798,5.73312240783948,2.28599452412144,-0.813080310521617,0.138247285450747,-2.92747210921877,1.0,1.0,0.0,1.0,354.0,141.2767645736185,116.95,4.761746493030188,0.46727900756909796,27.29967551964243,-4.238009159205864,26.918250651989343
Eletroeletronicos,Tecnologia da Informacao,1253,ITEC3,Tradicional,79812539.122,2298980.586994,24513626.927,22716735.07852,34715091.219,6435606.586717,4346833.3197,245883.66897,0.0,11072000.0,36521848.752,187211622.78,103318801.23,4017544.1771,4018627.3651,28604827.886,7596397.2268,2017,-0.463546937737286,0.18961273852681,0.377326133047862,-0.267327918713622,18.1951911819308,0.611278124748707,0.0016154515705532,0.0,3.06522573731883,19.8916335285258,0.0,0.307140045870849,0.671204436923736,10.6628246735447,0.187933238215517,0.0264023142147402,0.732672081286378,346.490038553874,1985,32,0.434957860016646,0,0.0094159169759857,5.84785406945444,2.59317340217564,-0.798392155464018,-0.454061668761471,-4.0708245969724,1.0,1.0,0.0,0.0,270.0,137.7487550487655,110.55,4.705467907303455,1.1088276246144064,27.51688965041178,-1.5632946573282402,26.98964004796001
Alimentos e Bebidas,Consumo Nao Ciclico,2057,JBSS3,Novo Mercado,74179201122.0,24061578746.0,118448253.8,16265139602.0,24119911832.0,96687384334.0,2020545246.5,3517100326.7,0.0,2964257396.0,32330673440.0,28198343085.0,2785963010.1,3873771871.3,29529494667.0,98986159.764,11790192580.0,2011,-0.0002978507572451,0.0288268998199281,0.544263379831347,0.0539022425830142,25.0297496394972,0.55538264252991,0.0473994421956857,0.0,0.92456367123991,0.719186132446426,0.0,0.0015967852444945,0.0036636494448474,0.0046705321749498,0.0013340218708827,0.397964642893642,1.05390224258301,133.884857654572,2007,4,0.325157341507774,0,0.148548721291337,4.89698015933123,1.91357018917716,-1.08383853676852,8.3320742973747,-3.18428935786142,1.0,0.0,1.0,,177.0,185.263983558863,97.1,4.575741375297279,0.1411647564732169,22.407314729061774,0.2639582124724795,26.53217560006509
Alimentos e Bebidas,Consumo Nao Ciclico,2057,JBSS3,Novo Mercado,73554167545.0,23959619822.0,1062800084.1,17055898499.0,24813590506.0,111901818730.0,2385534112.5,2881530546.4,0.0,2846124113.0,30468400732.0,25244410061.0,4021735462.7,4319102709.5,30288636025.0,559902984.49,11598419520.0,2012,-0.0084259949897819,0.0464865372562943,0.564437043965177,0.157356975791617,25.021287945135,0.578804401914758,0.0388455322086961,0.0,0.912441827649536,0.931150688742379,0.0,0.0144492164016374,0.0348820436441147,0.0441700062709593,0.0075479780857864,0.408317096529327,1.15735697579162,117.530190149943,2007,5,0.337351251930344,0,0.244008666995311,4.76669523802776,1.97722248820376,-1.07870117830491,8.2800993530699,-3.23025931608436,1.0,0.0,1.0,,182.0,185.783740228544,97.65,4.581389657322688,0.22158715577197807,21.83808826310969,0.7500727471763502,26.629214433811153
Alimentos e Bebidas,Consumo Nao Ciclico,2057,JBSS3,Novo Mercado,95849147797.0,29228684118.0,1293766712.0,24717846796.0,38842156604.0,129672715280.0,2845758599.8,6578869200.1,237836884.02,2868453829.0,30640067001.0,35112945951.0,5799958848.5,9279261945.5,45727923542.0,1109807288.3,15639278389.0,2013,0.303109680880557,0.056278596440745,0.864125113796093,0.158807933165753,25.2860414153918,0.674734139045031,0.0894425077419996,0.0032334929747453,1.02946089369496,0.625045276506361,0.0077622834183827,0.0134979469482617,0.0422246698076011,0.0539977980290008,0.0150882992132434,0.621690450293302,1.15880793316575,137.888738632202,2007,6,0.405242586885219,1,-0.0341911302704274,4.92644711817385,2.10780950168926,-1.18024285317714,8.61769476667534,-3.33811248237476,1.0,0.0,1.0,0.0,213.0,198.912914320362,91.5,4.516338972281476,0.27725352925037733,22.249505114692322,0.7823588846875692,26.749450117594655
