"CD_CVM","DENOM_SOCIAL","DENOM_COMERC","DT_INI_CATEG"
"2008","EMBRAER S.A.","EMBRAER","01/01/2010"
"2236","ENAUTA PARTICIPAÇÕES S.A.","QGEP PARTICIPAÇÕES SA","02/02/2011"
"1460","ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","01/01/2010"
"1525","ENERGISA SA","ENERGISA","01/01/2010"
"2123","ENEVA S.A.","ENEVA SA","01/01/2010"
"1732","ENGIE BRASIL ENERGIA S.A.","TRACTEBEL ENERGIA","01/01/2010"
"1732","ENGIE BRASIL ENERGIA S.A.","TRACTEBEL ENERGIA","01/01/2010"
"1732","ENGIE BRASIL ENERGIA S.A.","TRACTEBEL ENERGIA","01/01/2010"
"2001","EQUATORIAL ENERGIA S/A","EQUATORIAL ENERGIA S/A","01/01/2010"
"2052","EVEN CONSTRUTORA E INCORPORADORA S/A","EVEN","01/01/2010"
"1341","ÉVORA S.A.","PETROPAR S.A.","01/01/2010"
"2077","EZ TEC EMPREEND. E PARTICIPAÇÕES S/A","EZ TEC EMPREEND. E PARTICIPAÇÕES S/A","01/01/2010"
"2062","FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL","FERTILIZANTES HERINGER SA","01/01/2010"
"1279","FIBRIA CELULOSE S.A.","FIBRIA","01/01/2010"
"2188","FLEURY SA","FLEURY SA","01/01/2010"
"1610","GAFISA SA","GAFISA","01/01/2010"
"1956","GOL LINHAS AEREAS INTELIGENTES SA","GOL LINHAS AEREAS INTELIGENTES SA","01/01/2010"
"1956","GOL LINHAS AEREAS INTELIGENTES SA","GOL LINHAS AEREAS INTELIGENTES SA","01/01/2010"
"1961","GRENDENE SA","GRENDENE SA","01/01/2010"
"2087","HELBOR EMPREENDIMENTOS S/A","HELBOR","01/01/2010"
"2143","HYPERA S/A","HYPERA PHARMA S/A","01/01/2010"
"1193","IOCHPE-MAXION SA","IOCHPE-MAXION","01/01/2010"
