"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano","inv","fc","divida","cv","tamanho","alavanc","caixa_normalizado","dividendos_normalizado","q_tobin","cob_juros","div_pl","roa","roe","rok","fcl_normalizado","divonerosa_normalizado","tx_vendas","epu","cvm_reg","idade_firma","divlp_at","dum_dividendos","cv_industria","ln_epu","kz","ww","sa","fcp","dum_kz","dum_ww","dum_sa","dum_fcp"
"Siderurgica e Metalurgica","Bens industriais",538,"EALT4","Tradicional",272718801.48,177705572,1841052.0728,52136007.639,143411377.3,131234339.97,10865664.08,6415246.8655,970148.57865,2250000,77171416.535,40856086.479,3396635.1386,9499650.2776,47010946.872,9089288.58,36274635.935,2016,-0.0980001403352045,0.0644968869441302,0.992561526280086,-0.244906963598183,19.4239517910937,0.717029349946167,0.0325625792555116,0.0049242906226727,0.86683965364719,0.357553703488349,0.0125713460010158,0.0067507339531008,0.0238566577557251,0.0093448319746618,0.0461355090408354,0.238618671345056,0.755093036401817,308.932376861572,1950,66,0.525858050569781,1,-0.151118161440429,5.73312240783948,2.19460567831282,-0.918322385199061,-0.731986633178575,-2.48333497752016,1,1,0,1
"Siderurgica e Metalurgica","Bens industriais",538,"EALT4","Tradicional",274481997.73,167411033.36,33197544.875,104081365.56,64252543.947,182416436.3,10365025.675,1509964.0288,2011480.0585,2250000,106148088.21,69180268.505,52112173.19,9033787.6617,58979584.913,12501072.35,3796578.852074,2017,-0.0579303086793473,0.245139024397052,0.947262978940244,0.390005362481346,19.4303962347232,0.613278506084606,0.0084969987817827,0.0113191726959468,0.865317871395106,5.76858513189731,0.0189497530517983,0.120946164592023,0.312747459090578,0.186812065043183,0.0703471039726318,0.331894966765589,1.39000536248135,346.490038553874,1950,67,0.234086550223244,1,-0.0370037353405383,5.84785406945444,1.46738265739725,-0.951753836684846,-0.765969217942141,-3.0756125388093,1,1,0,1
"Siderurgica e Metalurgica","Bens industriais",538,"EALT4","Tradicional",362412368.77,227365574.4,12788961.182,121360966.68,79611257.26,257847550.22,10367734.879,2014034.2984,6065072.7006,22500000,161440144.82,98500662.028,21048694.378,12345226.306,85831898.187,44490424.844,3796578.852074,2018,0.358127775909931,0.138322400837249,1.20047179631124,0.413510511716975,19.7082932617107,0.554540190302086,0.0120304752797806,0.0362286318820916,0.826331857779546,1.70500676587597,0.0375685533939674,0.0352884235861065,0.0792179739200509,0.076392582527692,0.265755631221318,0.51270156132677,1.41351051171698,165.088276545207,1950,68,0.21967036481176,1,0.202933380067934,5.10648034019899,0.393717042776122,-0.930912827473578,-0.543088732428357,-2.64109474662476,1,1,0,1
"Siderurgica e Metalurgica","Bens industriais",538,"EALT4","Tradicional",368838918.88,190566474.46,16867505.311,118674125.84,87227354.33,299487056.2,10180962.347,4989882.7355,6578437.1791,22500000,162937438.7,221799286.58,27100518.592,12693420.856,87733849.95,2821761.1698,10428204.28,2019,-0.161849919615623,0.118964657377788,0.905596551779477,0.161488856281444,19.7258705724955,0.558242283110507,0.0219465182830246,0.0289333035419279,1.15958686802558,2.13500512583966,0.0403740063154681,0.0457313598093692,0.103521360379651,0.0741867160651388,0.0124106790451739,0.385871300796186,1.16148885628144,158.080664316813,1950,69,0.236491730847902,1,-0.117377799780313,5.06310543639972,0.793087973759815,-0.953422408210817,-0.566237908686896,-2.71658333741123,1,1,0,1
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",6503172903.8,450500773.55,599269464.71,1348578078,2205160552.1,2859109754.9,263213126.44,945882177.97,459550436.05,558699000,2944676316.6,12194281054,1233326307.7,454374730.04,2622529297.1,486062630.24,24567392.922,2011,0.236210088580971,2.36672108685459,9.75174251553633,0.201864382190832,22.595556033793,0.546862374786431,2.59557621133735,1.26104308496541,2.42159018636856,2.71433736552961,0.156061443310214,0.0921503200937236,0.203509452407975,1.64444325414859,1.33379466243736,7.19642976221075,1.20186438219083,133.884857654572,2003,8,0.339089946510796,1,0.082850302712346,4.89698015933123,-53.0271461763334,-1.26306971801395,4.98111875957457,-7.7042362772769,0,0,1,0
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",9159430379.3,873254999.59,623945537.87,2120514844.8,3896825726.5,3561362902.3,350984887.12,1399818071.2,319019785.51,558523000,3115612125.3,14283916611,1408890347.4,513719673.23,4855466855.2,570082501.19,184276452.89,2012,0.938409545245941,2.16410377568818,13.3570038601324,0.245619513625339,22.9380498280329,0.658860367637744,3.10724898465604,0.708144811819269,2.21643228253365,2.74252753168209,0.102393935021447,0.0681205612174416,0.200264189756907,1.38500436514955,1.26544178092677,10.7779323372485,1.24561951362534,117.530190149943,2003,9,0.425444112256882,1,0.116753415763307,4.76669523802776,-31.4368821040263,-1.25596114423271,5.35928486301251,-8.51924299887979,0,0,1,0
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",9073701289.3,597425661.99,555314704.04,1627293315.4,4518001908.3,3683569856.8,330286976.83,1494950173.6,607447427.92,558157000,2892033196.7,11530228179,1339477410.1,612589515.06,5165289345.2,614221192.55,280580134.45,2013,-0.315863450801317,1.01413868948451,7.03722878951196,0.0343146592617889,22.9286460982392,0.679990251303493,1.71192855958671,0.695612883069895,1.9479948522819,2.18658233151249,0.21004165118614,0.0612004612378903,0.192015328411047,0.635913569691241,0.70336979786933,5.91498399393664,1.03431465926179,137.888738632202,2003,10,0.497922706980422,1,0.106529594034283,4.92644711817385,-27.9663972602206,-1.14302566670169,5.30766873722459,-6.07989768558218,0,0,1,0
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",8791097469,658889926.54,619009156.49,1672316396.5,4778396518.9,3852575782.2,405270633.53,793752332.55,1047384742.9,556466000,2269790750.4,7781134722,1455265735.1,682307073.1,5490813225.8,373707594.07,461975755.01,2014,0.102881862063416,1.71448910749526,10.7975156171112,0.0458810154198674,22.8970053951161,0.739717929446937,1.32862108719275,1.75316329635256,1.61889316863858,2.132860397428,0.461445506690615,0.0704131831859229,0.272716397483298,1.03612749815284,0.62552986563248,9.1907890389414,1.04588101541987,148.63472366333,2003,11,0.543549486938353,1,0.0689641466272668,5.0014917770144,-69.7030810868304,-1.20864369952519,5.22863983455039,-5.45753375751111,0,0,1,0
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",9317090550.8,1031709114.7,129159498.97,2047603675.6,5327538358,3438011477.8,433352911.06,916069560,294213756.56,556466000,1875600401.3,3357065970.3,1120926286.9,986641843.74,6258276352.3,455875879.46,722354016.2,2015,0.565829242704877,0.853727439701343,11.1932839409592,-0.107607047294282,22.9551162442469,0.797248662526374,1.39032260640334,0.446529450078243,1.15188405064696,1.13610252191512,0.15686377351811,0.0138626428782438,0.0688630152139433,0.196025912322335,0.691884730813721,9.49821222061144,0.892392952705718,249.816769917806,2003,12,0.571802788537089,1,0.018591907396158,5.52072772881606,-17.4338937881817,-1.1320438319907,5.26038588482621,-5.29759043039225,0,0,1,0
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",7363547029.1,687760629.67,1075662830.2,1847409333.8,4877682915.7,3154651090.1,379100611.14,657363755.99,163406474.04,556466000,557516510.32,5113106574.1,863624034.49,772658666.32,5497798541.8,677807128.28,564229492.44,2016,-0.333377383343185,1.41005194256039,6.5183995698783,-0.0824198492441695,22.7198075868963,0.923445494779843,0.637159977191001,0.158384249699602,1.60767613445214,1.11773034088034,0.293097102983029,0.146079440512716,1.92938291564244,1.04260281786187,0.656975031646485,5.32882618120384,0.917580150755831,308.932376861572,2003,13,0.662409419865709,1,-0.121754796770737,5.73312240783948,-5.13242956420217,-1.18560995732632,4.93165705023782,-4.55806223824713,0,0,1,0
