"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano"
"Energia Eletrica","Utilidade Publica","02149","ALUP11","Nivel 2",15250468171,4472306720.9,403797693.56,1596299153.4,7116430970.9,1965911512.1,106237438.01,3106585782.4,530259001.12,879111269,4518837282.1,6283011996.8,1245661942.1,380541809.7,6685539347.8,429559374.37,3609876143.9,2018
"Energia Eletrica","Utilidade Publica","02149","ALUP11","Nivel 2",19388704373,4430361228.5,891156020.32,2087737908.1,9753516079.8,4596596894.6,113084656.4,1026208172.5,440499040.25,879111269,5007088571.9,9198511327.2,2447167619.8,349977462.43,8556490758.1,428127934.79,3359468330.8,2019
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3434835218.4,578970192.94,347719051.86,1637422780.9,425930884.93,3458815670.3,172225669.14,42137008.326,184698303.59,184551000,1371468221.7,7737371135.9,476497961.09,109730855.19,962899043.95,26894899.134,808230045.03,2010
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3806051169,728026886.26,277706042.03,1159520865.2,1304468796.3,3833769671.9,191774927.9,44983894.657,197089883.56,184551000,1342061507.4,4937608045,433734490.11,437993338.89,1540307632.5,267080824.52,1511986757.5,2011
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3608053267.6,730412106.7,339879959.8,894285177.43,1177750569.1,4253618821.7,212023988.25,71519752.844,103739120.62,185449000,1536017521.1,8918025299,525408525.77,181084821.09,1141255981.7,71057047.54,1588835405.6,2012
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3596003630.1,805825353.33,119337178.75,964135756.08,1085699218.5,4322744967.4,229417484.01,48431091.117,29918739.93,185533000,1546168655.6,4816747959.1,288170435.72,183849156.4,1105582234.6,60913633.276,1400324045.5,2013
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3894009650.1,724223660.5,67006199.898,1220434465.3,1157366102.8,4387229692.2,249980531.83,62126534.583,26636151.582,185533000,1516209082,3528874919.6,255378333.65,263028389.6,1494999590.5,66645471.952,1376107594.5,2014
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3356737732.1,542619471.98,42388646.11,984714656.1,1045931901.7,3751148652.4,235630097.02,53520347.381,14379237.63,204086000,1326091174.3,1173163146.3,83835032.582,315067917.96,1301456122,380025756.53,1223140716,2015
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",2948414229,451628695.85,98136661.854,809112835.5,1011212626.2,3181178520.6,191108118.86,40189798.762,0,204086000,1128088767.3,1356370927.8,10431885.003,240290191.34,916092345.89,247764795.85,964511680.87,2016
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3068381221.9,337625357.19,65465714.472,1380259851.8,648650867.43,3114790410.4,166463243.89,44829900.474,0,204086000,1039470502.6,1602710373.9,121219565.61,182076315.28,1087764438.2,71497988.272,620726281.59,2017
